Ba(GeP)2        Ge Ba P   2  1  2
DyMnO3          O  Mn Dy  3  1  1
Ag3AuS2         S  Ag Au  2  3  1
Dy3(AlNi3)2     Dy Ni Al  3  6  2
Rb3TlCl6        Tl Rb Cl  1  3  6
Pb(SN)2         S  Pb N   2  1  2
In9(CuSe4)4     In Se Cu  9 16  4
Ba4Al2O7        Ba O  Al  4  7  2
P2O2F3          O  F  P   2  3  2
Dy3SnC          Sn Dy C   1  3  1
Gd2Mo2C3        Gd Mo C   2  2  3
KPb2Cl5         Cl Pb K   5  2  1
Nd11In9Pd4      In Nd Pd  9 11  4
Nd4Cu2O7        O  Nd Cu  7  4  2
La5Bi3Br        Br Bi La  1  3  5
Ni2Mo4N         Mo Ni N   4  2  1
Ce(NiAs)2       As Ce Ni  2  1  2
ZnSnAs2         As Sn Zn  2  1  1
Ni2Mo4C         Mo Ni C   4  2  1
Na6ZnS4         S  Na Zn  4  6  1
Li(NiP)2        Li Ni P   1  2  2
Ba2Si5N8        Ba Si N   2  5  8
Ca(AlGa)2       Ca Al Ga  1  2  2
CsTiCl3         Cl Ti Cs  3  1  1
P(H3C)3         H  C  P   9  3  1
K2Zn6O7         O  K  Zn  7  2  6
CsCu3S2         S  Cu Cs  2  3  1
Li2TeS3         S  Li Te  3  2  1
Ca3(GaNi)4      Ca Ni Ga  3  4  4
Ba2Ti9O20       Ba O  Ti  2 20  9
ZrFeCl6         Zr Cl Fe  1  6  1
Ca3(AlAs2)2     As Ca Al  4  3  2
Sr5(AlSb3)2     Sb Al Sr  6  2  5
Tl(CoSe)2       Tl Se Co  1  2  2
KPb2Br5         Br Pb K   5  2  1
Sr4TiP4         Ti Sr P   1  4  4
Ti2GaC          Ti C  Ga  2  1  1
Sm2Co7B3        Co B  Sm  7  3  2
Ce3GaBr3        Ce Br Ga  3  3  1
DySnPd2         Sn Dy Pd  1  1  2
Sm4MgRh         Mg Rh Sm  1  1  4
Ti2SbP          Sb Ti P   1  2  1
Al2Mo3C         Mo Al C   3  2  1
Zr2Fe12P7       Zr Fe P   2 12  7
Sr3Mn2O7        O  Mn Sr  7  2  3
YNiBi           Bi Ni Y   1  1  1
Ce2CuGe6        Ge Ce Cu  6  2  1
PdSe2O5         O  Se Pd  5  2  1
SrAlSi          Si Sr Al  1  1  1
Ho2SiO5         O  Ho Si  5  2  1
Cs(BCl)6        Cl B  Cs  6  6  1
YbBiPd          Bi Pd Yb  1  1  1
Sc2CrC3         Cr Sc C   1  2  3
Ca2FeN2         Fe Ca N   1  2  2
Cs4P2Se9        Se P  Cs  9  2  4
AgTe3I          Te I  Ag  3  1  1
Na5Zr2F13       Zr F  Na  2 13  5
Ho4Ni13C4       Ho Ni C   4 13  4
Tl2WO4          O  Tl W   4  2  1
La9Sb16Br3      Br Sb La  3 16  9
NdNiSb3         Nd Sb Ni  1  3  1
K5GaSe4         Se K  Ga  4  5  1
Tb2Fe3Si5       Tb Fe Si  2  3  5
Hg3(SI)2        S  Hg I   2  3  2
NaZnF3          F  Na Zn  3  1  1
Mn2AlCo         Mn Co Al  2  1  1
AlSeCl7         Cl Se Al  7  1  1
Nd(FeP3)4       Fe Nd P   4  1 12
Yb4LiGe4        Ge Li Yb  4  1  4
CdSeO3          O  Cd Se  3  1  1
Cr2CdSe4        Cr Cd Se  2  1  4
Ce(Ni2B)6       Ce Ni B   1 12  6
Rb4Zr3Te16      Zr Te Rb  3 16  4
CeMnSi2         Mn Ce Si  1  1  2
Lu2MgSe4        Se Mg Lu  4  1  2
CdS2O7          S  O  Cd  2  7  1
Hf9AsW4         Hf As W   9  1  4
Cs3CoBr5        Br Co Cs  5  1  3
Ca3AuN          N  Ca Au  1  3  1
Ba(MgSn)2       Ba Sn Mg  1  2  2
Sc3(ReSi2)2     Re Sc Si  2  3  4
LaBPt2          La B  Pt  1  1  2
Na4(CoO2)7      Co O  Na  7 14  4
NaNb10O18       O  Nb Na 18 10  1
Te7As5I         As Te I   5  7  1
Y2P4O13         O  P  Y  13  4  2
HoMg2Cu9        Ho Mg Cu  1  2  9
HfFeSi2         Hf Fe Si  1  1  2
Pd(SeCl3)2      Cl Se Pd  6  2  1
Ag(Mo3S4)2      S  Mo Ag  8  6  1
Ba(Mo3S4)2      S  Ba Mo  8  1  6
YbMnGe          Ge Mn Yb  1  1  1
Pr23Mg4Ni7      Mg Pr Ni  4 23  7
Zr(SiNi)2       Zr Ni Si  1  2  2
MnAlPt          Mn Al Pt  1  1  1
Sm2SO2          S  O  Sm  1  2  2
Ag3SbS3         S  Sb Ag  3  1  3
Sm4S3N2         S  Sm N   3  4  2
HoCoSi          Ho Co Si  1  1  1
HoCoSn          Ho Co Sn  1  1  1
Ba6Cu11F34      Ba F  Cu  6 34 11
Hf2P2O9         Hf O  P   2  9  2
YbFeB4          Fe B  Yb  1  4  1
Cs2Cr4O13       Cr O  Cs  4 13  2
K2Ag4S3         S  K  Ag  3  2  4
Ba(SbS2)2       S  Ba Sb  4  1  2
Li2MgTl         Tl Li Mg  1  2  1
Eu(SiIr)2       Ir Si Eu  2  2  1
Tl(CuSe)2       Tl Se Cu  1  2  2
InFeBr3         In Fe Br  1  1  3
Ba5Fe5O14       Ba O  Fe  5 14  5
Au2Se4O11       O  Se Au 11  4  2
Ca2Ni7P4        Ca Ni P   2  7  4
In2(SO4)3       S  O  In  3 12  2
Ca7(H6Cl)2      H  Ca Cl 12  7  2
Sr(InSe2)2      In Se Sr  2  4  1
Ba2ScCl7        Ba Cl Sc  2  7  1
Dy5Si3B         Dy B  Si  5  1  3
PrNiSn          Sn Pr Ni  1  1  1
TiMnO3          O  Mn Ti  3  1  1
La2GeO5         Ge O  La  1  5  2
Na3B5S9         S  Na B   9  3  5
Gd(BO2)3        Gd O  B   1  6  3
RbCuO           O  Cu Rb  1  1  1
Y12Ni6Pb        Pb Ni Y   1  6 12
CaSn2Pd         Sn Ca Pd  2  1  1
Pr9(SbO)5       O  Sb Pr  5  5  9
TaNiTe5         Te Ni Ta  5  1  1
TaNiTe2         Te Ni Ta  2  1  1
Ta2Te5Pd3       Ta Te Pd  2  5  3
SrHI            H  I  Sr  1  1  1
Rb3YF6          F  Rb Y   6  3  1
Pr2In8Pd        In Pr Pd  8  2  1
CsAgC2          Ag C  Cs  1  2  1
Bi9Rh2I3        Bi I  Rh  9  3  2
NbHO3           O  H  Nb  3  1  1
Tl4HgBr6        Hg Tl Br  1  4  6
Cs5Mo21Se23     Mo Se Cs 21 23  5
HoSnAu          Sn Ho Au  1  1  1
Li6MoN4         Mo Li N   1  6  4
LuIO            O  I  Lu  1  1  1
HgIBr           Hg Br I   1  1  1
ErCdCu4         Cd Er Cu  1  1  4
PrBrO           O  Br Pr  1  1  1
HfCoSn          Hf Sn Co  1  1  1
HfCoSb          Hf Sb Co  1  1  1
Lu(IO3)3        O  I  Lu  9  3  1
Co(CO)4         O  Co C   4  1  4
Nd10S14O        S  O  Nd 14  1 10
Ba(AgSn)2       Ba Sn Ag  1  2  2
Hg2MoO4         Hg O  Mo  2  4  1
Zr6CI14         Zr I  C   6 14  1
Zr6CI12         Zr I  C   6 12  1
K6CdPb8         Cd Pb K   1  8  6
CeZnAu          Ce Zn Au  1  1  1
Ba2Ge2Se5       Ge Ba Se  2  2  5
Te6MoBr3        Mo Br Te  1  3  6
K14Fe4O13       O  Fe K  13  4 14
RbNa2Ge17       Ge Na Rb 17  2  1
NbAlNi2         Nb Ni Al  1  2  1
SmMg2Ag         Mg Sm Ag  2  1  1
K2TaCl6         Cl K  Ta  6  2  1
H5NO            O  H  N   1  5  1
Sm2(MoO4)3      O  Mo Sm 12  3  2
Mg(FeO2)2       O  Fe Mg  4  2  1
AsCl2F3         As Cl F   1  2  3
RbMnO4          O  Mn Rb  4  1  1
RbMnO2          O  Mn Rb  2  1  1
ErBiPt          Bi Er Pt  1  1  1
Lu2Mo2C3        Mo C  Lu  2  3  2
TbMg2Cu9        Tb Mg Cu  1  2  9
Sm2CdPd2        Cd Sm Pd  1  2  2
Nd(GeRu)2       Ge Nd Ru  2  1  2
P2W7O25         O  W  P  25  7  2
Ce2(Zn2Ge)3     Ge Ce Zn  3  2  6
RbMgH3          H  Mg Rb  3  1  1
EuNi5As3        As Ni Eu  3  5  1
ZrGeTe          Ge Zr Te  1  1  1
P(W2O7)2        O  W  P  14  4  1
Si(Bi3O5)4      O  Bi Si 20 12  1
Sr3(BO3)2       O  B  Sr  6  2  3
KAlTe2          K  Te Al  1  2  1
AlCuO2          O  Al Cu  2  1  1
Tl3GeTe3        Ge Tl Te  1  3  3
CsAg5Te3        Ag Te Cs  5  3  1
Hg3(SeBr)2      Hg Se Br  3  2  2
AgAsS2          S  As Ag  2  1  1
Mg4H2O5         O  H  Mg  5  2  4
AsPdSe          As Se Pd  1  1  1
NaMnTe2         Mn Na Te  1  1  2
TbKF5           Tb K  F   1  1  5
Sm3Sb4Pt7       Sb Sm Pt  4  3  7
Li2BPt3         Li B  Pt  2  1  3
Tl2TeCl6        Tl Te Cl  2  1  6
Ba2Zn7F18       Ba F  Zn  2 18  7
ReHgO4          Hg O  Re  1  4  1
Li4H5Rh         H  Li Rh  5  4  1
NaFeF4          F  Fe Na  4  1  1
Ga(MoSe2)4      Mo Se Ga  4  8  1
Mg(BeN)2        Mg Be N   1  2  2
NaFeF3          F  Fe Na  3  1  1
Ho2Ge2Os        Ge Ho Os  2  2  1
K3MoF6          F  Mo K   6  1  3
LiErO2          O  Li Er  2  1  1
InAgSe2         In Se Ag  1  2  1
Ca(Al5Cr)2      Cr Ca Al  2  1 10
La4Ni3O10       O  La Ni 10  4  3
Ho(MnSi)2       Mn Ho Si  2  1  2
Er(MnSi)2       Mn Er Si  2  1  2
MgCr2O4         Cr O  Mg  2  4  1
TaInS2          S  In Ta  2  1  1
Rb3PS4          S  Rb P   4  3  1
Na2GeF6         Ge F  Na  1  6  2
VCo2Sn          Sn Co V   1  2  1
Ho2Ge2O7        Ge O  Ho  2  7  2
Sm(Mo3S4)2      S  Mo Sm  8  6  1
K2Te2O5         O  K  Te  5  2  2
Ba3WO6          O  Ba W   6  3  1
TlSb5S8         S  Tl Sb  8  1  5
Sm2Ga9Ru5       Ru Sm Ga  5  2  9
Sm2(CuAs)3      As Cu Sm  3  3  2
K3AuSe13        Se K  Au 13  3  1
Sm(NiSb)2       Sb Ni Sm  2  2  1
Eu3Sb4S9        S  Sb Eu  9  4  3
YInNi           In Ni Y   1  1  1
Cs3GaAs2        As Ga Cs  2  1  3
Sr3(BS3)2       S  B  Sr  6  2  3
Na4GeSe4        Ge Se Na  1  4  4
ScInAu2         In Sc Au  1  1  2
SmOF            O  F  Sm  1  1  1
Hf6CoBi2        Hf Bi Co  6  2  1
TaTe4I          Ta Te I   1  4  1
Sr3V2O7         O  Sr V   7  3  2
PrSnAu          Sn Pr Au  1  1  1
Y5Mg16Cu5       Mg Cu Y  16  5  5
TlInS2          S  Tl In  2  1  1
Rb2Ag4S3        S  Rb Ag  3  2  4
ErAgSn          Sn Er Ag  1  1  1
BaNb8O14        Ba Nb O   1  8 14
Ca2Si5N8        Ca Si N   2  5  8
Ba2CuO3         O  Ba Cu  3  2  1
Be(N3O7)2       O  Be N  14  1  6
Er2Hf2O7        Hf O  Er  2  7  2
PrCoC2          Co Pr C   1  1  2
KCuSe           Se K  Cu  1  1  1
Zn(H2N)2        H  Zn N   4  1  2
Ca3(Cu2Sn)4     Sn Ca Cu  4  3  8
EuB4O7          O  B  Eu  7  4  1
Ca3AlAs3        As Ca Al  3  3  1
Ba2CoF6         Ba F  Co  2  6  1
Bi6PtBr10       Bi Br Pt  6 10  1
LiCuO2          O  Li Cu  2  1  1
YbMgGe          Ge Mg Yb  1  1  1
Tm5(SiSb)2      Sb Tm Si  2  5  2
AgIrF7          F  Ir Ag  7  1  1
Na3MoN3         Mo Na N   1  3  3
Eu(MnSb)2       Mn Sb Eu  2  2  1
SmIn2Ir         In Ir Sm  2  1  1
HfSiSe          Hf Se Si  1  1  1
HNO             O  H  N   1  1  1
DyAl7Au3        Dy Al Au  1  7  3
SbOF            O  F  Sb  1  1  1
Ho(AlC)3        Ho Al C   1  3  3
La2GaN3         La Ga N   2  1  3
NaWO3           O  W  Na  3  1  1
Y(SiIr)2        Ir Si Y   2  2  1
Na3B5Pt9        Na B  Pt  3  5  9
BaCN2           Ba C  N   1  1  2
K(NiS)2         S  K  Ni  2  1  2
Ca(BeN)2        Ca Be N   1  2  2
K6Tl2Sb3        K  Tl Sb  6  2  3
Ba2As2S5        S  As Ba  5  2  2
Na4TeO5         O  Na Te  5  4  1
Rb2FeF5         F  Fe Rb  5  1  2
MgMo2O7         O  Mo Mg  7  2  1
KSn2I5          Sn K  I   2  1  5
V4P2C           V  C  P   4  1  2
Ce(CuGe)2       Ge Ce Cu  2  1  2
Ba2SnTe5        Ba Sn Te  2  1  5
ScTaO4          O  Ta Sc  4  1  1
KCrS2           Cr S  K   1  2  1
Ni2GeO4         Ge O  Ni  1  4  2
NaInTe2         In Na Te  1  1  2
AlV2O4          O  Al V   4  1  2
NdB2Rh3         Nd Rh B   1  3  2
B3H7N           H  B  N   7  3  1
Rb2SnAs2        As Sn Rb  2  1  2
CrReO4          Cr O  Re  1  4  1
La7Sb11Br4      Br Sb La  4 11  7
KScF4           F  K  Sc  4  1  1
Cs2WS4          S  W  Cs  4  1  2
Li3Zr4F19       Zr F  Li  4 19  3
Cd(InSe2)2      Cd In Se  1  2  4
Eu3TaO6         O  Ta Eu  6  1  3
TaTeCl9         Cl Te Ta  9  1  1
V2Se2O9         O  Se V   9  2  2
Ce7C3I10        Ce I  C   7 10  3
Mn(SbO2)2       O  Mn Sb  4  1  2
Dy3Ga5O12       O  Dy Ga 12  3  5
CdSbAu          Cd Sb Au  1  1  1
MnCN2           Mn C  N   1  1  2
Ce3(Ge3Pd10)2   Ge Ce Pd  6  3 20
TbCoC           Tb Co C   1  1  1
Sr4P2O          O  Sr P   1  4  2
SrTe3O8         O  Te Sr  8  3  1
Y(CuO2)2        O  Cu Y   4  2  1
TaHgS2          S  Hg Ta  2  1  1
La2Al2I         La I  Al  2  1  2
SmTiO3          O  Ti Sm  3  1  1
Cs3W2Cl9        Cl W  Cs  9  2  3
NaLi5Sn4        Li Sn Na  5  4  1
ZrGaPt          Zr Pt Ga  1  1  1
Ni(BO2)2        O  Ni B   4  1  2
YIn2Ni          In Ni Y   2  1  1
ErInRh          In Er Rh  1  1  1
Er3InC          In Er C   1  3  1
Tm(SiCu)2       Tm Si Cu  1  2  2
YB4Mo           Mo B  Y   1  4  1
Er3InN          In Er N   1  3  1
Dy6Fe16O        O  Fe Dy  1 16  6
Cs(BBr)6        Br B  Cs  6  6  1
CuTeO4          O  Te Cu  4  1  1
CuTeO3          O  Te Cu  3  1  1
Cd2SnO4         O  Cd Sn  4  2  1
LaSi2Rh3        La Rh Si  1  3  2
TlIn3S5         S  Tl In  5  1  3
Nd(NiAs)2       As Ni Nd  2  2  1
Rb2(PSe2)3      Se Rb P   6  2  3
Mn2CoGe         Ge Mn Co  1  2  1
Lu2Ni12P7       P  Ni Lu  7 12  2
TbCoC2          Tb Co C   1  1  2
VHgO3           Hg O  V   1  3  1
MgInCu4         In Mg Cu  1  1  4
ZrGaNi2         Zr Ni Ga  1  2  1
TbGeIr          Ge Tb Ir  1  1  1
Sr(CoGe)2       Ge Co Sr  2  2  1
Zr3(SiCu)4      Zr Cu Si  3  4  4
YbCsS2          S  Yb Cs  2  1  1
Rb2MnS2         S  Mn Rb  2  1  2
NaLuCl4         Cl Na Lu  4  1  1
Nb3AgO8         O  Nb Ag  8  3  1
MnFe2Si         Mn Fe Si  1  2  1
CoHO2           O  H  Co  2  1  1
Na2Zn2O3        O  Na Zn  3  2  2
Hg2P3Br         Hg Br P   2  1  3
MnWO4           O  Mn W   4  1  1
Eu6Mg7H26       H  Mg Eu 26  7  6
