1047	A b m 2	(P Cl4) (V Cl5)		Die Molekuel- und Kristallstruktur von Tetrachlorophosphonium-pentachlorovanadat(IV) (P Cl4) (V Cl5)	Ziegler, M.L.;  Nuber, B.;  Weidenhammer, K.;  Hoch, G.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p18-p21
1139	I 4/m m m	Rb2 (Mn Cl4)	K2MgF4	Rubidium tetrachloromanganate	Goodyear, J.;  Ali, E.M.;  Steigmann, G.A.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2932-p2933
1142	P -3 m 1	Cs3 (Bi2 Br9)	Cs3Bi2Br9	Cesium enneabromodibismuthate(III)	Lazarini, F.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2961-p2964
1199	C m c m	Pb Tl I3	KTmI3	Die Kristallstrukturen von Tl Pb I3 und Tl4 Pb I6	Stoeger, W.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p975-p981
1257	P -6 2 c	Tl6 (Pb I10)		Darstellung, Kristallstruktur und Ueberstrukturanalyse von Tl6 Pb I10	Stoeger, W.;  Schulz, H.;  Rabenau, A.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 432,  p5-p16
1307	P 1 21/m 1	K (In2 F7)		Structure cristalline du fluoroindate de potassium K In2 F7	Champarnaud-Mesjard, J.C.;  Frit, B.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p3722-p3726
1383	P 1 21/n 1	Sn3 Br F5	Sn3BrF5	Environnement de l&#39;etain(II) dans les fluorohalogenures: etude de Sn3 Br F5	Vilminot, S.;  Granier, W.;  le Cot, L.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p35-p37
1447	P 63/m m c	Cs3 (I3 (Sb I3)2)	Cs3Cr2Cl9	Cs3 Sb2 I9 and Cs3 Bi2 I9 with the hexagonal Cs3Cr2Cl9 structure type	Chabot, B.;  Parthe, E.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p645-p648
1448	P 63/m m c	Cs3 (I3 (Bi I3)2)	Cs3Cr2Cl9	Cs3 Sb2 I9 and Cs3 Bi2 I9 with the hexagonal Cs3Cr2Cl9 structure type	Chabot, B.;  Parthe, E.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p645-p648
1520	P 1 21/m 1	Rb2 In3 F11		Structure cristalline du fluoroindate de rubidium Rb2 In3 F11	Champarnaud-Mesjard, J.C.;  Frit, B.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p736-p741
1528	P -3 m 1	K2 (Re F6)	K2GeF6	Potassium hexafluororhenate	Clark, G.R.;  Russell, D.R.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p894-p895
1616	C 1 2/c 1	Mn Cr F5	CaCrF5	Structure magnetique du fluorure antiferromagnetique Mn Cr F5	Ferey, G.;  de Pape, R.;  Boucher, B.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1084-p1091
1617	C 1 2/c 1	Mn Cr F5	CaCrF5	Structure cristalline du fluorure antiferromagnetique Mn Cr F5	Ferey, G.;  de Pape, R.;  Boucher, B.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1084-p1091
1658	C 1 m 1	K Er3 F10		Structure cristalline de la phase beta-K Er3 F10	Aleonard, S.;  Guitel, J.C.;  Roux, M.T.	Journal of Solid State Chemistry (1978) 24,  p331-p344
1668	F m -3 m	K2 (Sn Cl6)	K2PtCl6	A neutron powder investigation of the structural changes in K2 Sn Cl6	Boysen, H.;  Hewat, A.W.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1412-p1418
1669	P 4/m n c	K2 (Sn Cl6)	K2SnCl6	A neutron powder investigation of the structural changes in K2 Sn Cl6	Boysen, H.;  Hewat, A.W.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1412-p1418
1670	P 1 21/n 1	K2 (Sn Cl6)	K2SnCl6(LT)	A neutron powder investigation of the structural changes in K2 Sn Cl6	Boysen, H.;  Hewat, A.W.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1412-p1418
1691	P 1 21/n 1	(Xe F) (As F6)	XeFAsF6	Crystal structure of (Xe F)(+) (As F6)(-)	Zalkin, A.;  Ward, D.L.;  Biagioni, R.N.;  Templeton, D.H.;  Bartlett, N.	Inorganic Chemistry (1978) 17,  p1318-p1322
