   67   Cmmb  
   67     Abmm  
   67     Acmm  
   67     Bmcm  
   67     Bmam  
   68   Ccca   
   68   Cccb   
   68     Abaa   
   68  Acaa
   68     Bbcb
   68     Bbab 
   69    Fmmm  
   70 Fddd    
   71    Immm  
   72    Ibam  
   72    Imcb  
   72    Icma  
   73    Ibca  
   73   Icab  
   74  Imma  
   74   Immb  
   74   Ibmm  
   74   Icmm  
   74   Imcm  
   74   Imam  
   75    P4   
   76    P41   
   77    P42   
   78    P43   
   79    I4   
   80    I41  
   81    P-4  
   82    I-4  
   83    P4/m  
   84    P42/m  
   85     P4/n    
   85     P4/n   
   86     P42/n    
   86     P42/n   
   87    I4/m  
   88     I41/a   
   89    P422   
   90    P4212   
   91    P4122   
   92    P41212   
   93    P4222   
   94    P42212   
   95    P4322   
   96    P43212   
   97    I422  
   98    I4122 
   99    P4mm   
   100    P4bm   
   101    P42cm   
   102    P42nm   
   103    P4cc   
   104    P4nc   
   105    P42mc   
   106    P42bc   
   107    I4mm   
   108    I4cm 
   109    I41md 
   110    I41cd 
   111    P-42m  
   112    P-42c   
   113    P-421m   
   114    P-421c   
   115    P-4m2   
   116    P-4c2   
   117    P-4b2   
   118    P-4n2   
   119    I-4m2
   120    I-4c2 
   121    I-42m  
   122    I-42d   
   123    P4/mmm  
   124    P4/mcc  
   125     P4/nbm    
   125     P4/nbm   
   126     P4/nnc    
   126     P4/nnc   
   127    P4/mbm  
   128    P4/mnc  
   129     P4/nmm    
   129     P4/nmm   
   130     P4/ncc    
   130     P4/ncc   
   131    P42/mmc  
   132    P42/mcm  
   133     P42/nbc    
   133     P42/nbc   
   134     P42/nnm    
   134     P42/nnm   
   135    P42/mbc  
   136    P42/mnm  
   137     P42/nmc    
   137     P42/nmc   
   138     P42/ncm    
   138     P42/ncm   
   139    I4/mmm  
   140    I4/mcm  
   141   I41/amd 
   141     I41/amd
   142     I41/acd
   142     I41/acd
   143    P3   
   144    P31   
   145    P32   
   146   R3H   
   146   R3   
   146     R3R   
   147  P-3  
   148 R-3   
   148   R-3R  
   149    P312   
   150    P321   
   151    P3112   
   152    P3121   
   153    P3212   
   154    P3221   
   155     R32
   155     R32R   
   156    P3m1   
   157    P31m   
   158    P3c1   
   159    P31c   
   160     R3mH 
   160     R3mR   
   161     R3c 
   161     R3cR   
   162   P-31m  
   163    P-31c  
   164    P-3m1  
   165    P-3c1  
   166     R-3mH  
   166     R-3mR  
   167     R-3cH  
   167     R-3cR  
   168    P6   
   169    P61   
   170    P65   
   171    P62   
   172    P64   
   173    P63   
   174    P-6   
   175    P6/m  
   176    P63/m  
   177    P622   
   178    P6122   
   179    P6522   
   180    P6222   
   181    P6422   
   182    P6322   
   183    P6mm   
   184    P6cc   
   185    P63cm   
   186    P63mc   
   187    P-6m2   
   188    P-6c2   
   189    P-62m   
   190    P-62c   
   191    P6/mmm  
   192    P6/mcc  
   193    P63/mcm  
   194    P63/mmc  
   195    P23  
   196    F23  
   197    I23  
   198    P213 
   199    I213
   200    Pm-3 
   201     Pn-3 
   201     Pn-3 
   202    Fm-3 
   203     Fd-3 
   203     Fd-3
   204    Im-3 
   205    Pa-3 
   206    Ia-3 
   207    P432  
   208    P4232 
   209    F432  
   210    F4132 
   211    I432  
   212    P4332 
   213    P4132 
   214    I4132 
   215    P-43m 
   216    F-43m 
   217    I-43m 
   218    P-43n 
   219    F-43c 
   220    I-43d 
   221    Pm-3m 
   222    Pn-3n 
   222    Pn-3n 
   223    Pm-3n 
   224    Pn-3m 
   224    Pn-3m 
   225    Fm-3m 
   226    Fm-3c 
   227    Fd-3m 
   227    Fd-3m 
   228    Fd-3c 
   228    Fd-3c 
   229    Im-3m 
   230    Ia-3d 
