613	P 21 n m	Te2 O3 (S O4)		Ditellurium(IV) trioxosulphate	Johansson, G.B.;  Lindqvist, O.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p2720-p2722
643	P 21 m n	Te2 O3 (S O4)	Te2O3SO4	Ditellurium(IV) trioxide sulphate	Loub, J.;  Podlahova, J.;  Novak, C.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p3115-p3116
650	P b n m	Sr (Zr O3)	Perovskite-GdFeO3	Structure of orthorhombic Sr Zr O3 by neutron powder diffraction	Ahtee, A.;  Ahtee, M.;  Glazer, A.M.;  Hewat, A.W.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p3243-p3246
657	P b 21 a	Cr Er2 S4	CrEr2S4	Structure cristalline de Cr Er2 S4	Tomas, A.;  Chevalier, R.;  Laruelle, P.;  Bachet, B.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p3287-p3289
820	R -3 H	Y4 Zr3 O12	Pr7O12	Yttria-zirconia delta phase	Scott, H.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p281-p282
847	P 63/m	Cs0.35 V3 O7		On the crystal structure of Csx V3 O7x-0.35 , a new hexagonal vanadium bronze structure type	Waltersson, K.;  Forslund, B.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p775-p779
848	P 63/m	Cs0.3 V2 O5		On the crystal structure of Csx V2 O5 (x ca. 0.3), a new al hexagonal vanadium bronze structure type	Waltersson, K.;  Forslund, B.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p780-p784
849	I 4 m m	Cs2 V5 O13		Crystal structure of Cs2 V5 O13	Waltersson, K.;  Forslund, B.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p784-p789
850	P 1 21/c 1	Cs V2 O5	CsV2O5	Refinement of the crystal structure of Cs V2 O5	Waltersson, K.;  Forslund, B.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p789-p793
980	P c m n	Na Ta O3	Perovskite-GdFeO3	The structure of Na Ta O3 by X-ray powder diffraction	Ahtee, M.;  Unonius, L.	Acta Crystallographica A (24,1968-38,1982) (1977) 33,  p150-p154
1043	P n n m	Li2 (W O4)		On the structure of a high pressure polymorph of lithium wolframate(VI). Li2 W O4 (III).	Wilhelmi, K.A.;  Waltersson, K.;  Loefgren, P.	Crystal Structure Communications (1977) 6,  p219-p223
1044	C 1 2/c 1	Li2 (W O4)	Li2WO4	The structure of Li2 W O4 (IV). A high pressure polymorph of lithium wolframate. Structure determination by use of Guinier-Haegg powder diffraction data.	Wilhelmi, K.A.;  Waltersson, K.;  Werner, P.E.	Crystal Structure Communications (1977) 6,  p225-p230
1045	I 41/a m d Z	Li2 (W O4)	CdBi2O4	The structure of Li2 W O4 (II). A high pressure polymorph of lithium wolframate. A structure derived by use of an x-ray powder photograph, also containing an additional phase.	Wilhelmi, K.A.;  Waltersson, K.;  Werner, P.E.	Crystal Structure Communications (1977) 6,  p231-p235
1053	C 1 2/m 1	K0.33 Mo O3	KxMoO3	Beitrage zur Chemie von Molybdaen und Wolfram, XX. Verfeinerung der Kristallstruktur der roten Molybdaenbronze - K0.33 Mo O3	Schroeder, F.A.;  Schuckmann, W.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p365-p368
1061	P 1 21/m 1	Ca Ho O2.5		Ein Beitrag zur Kristallchemie dreiwertiger Seltenerdoxide. Zur Stabilisierung der monoklinen b-Form	Muschick, W.;  Mueller Buschbaum, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p495-p498
1081	P 1 21/c 1	Mo5 Te O16	Mo5TeO16	Structure cristalline de l&#39;oxyde mixte de molybdene-tellure: Mo5 Te O16	Arnaud, Y.;  Guidot, J.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2151-p2155
1108	P b c n	Na2 (Te O4)		The crystal structure of sodium metatellurate	Kratochvil, B.;  Jensovsky, L.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2596-p2598
1181	C m c 21	Cs2 Pr O3	Na2SiO3	Die Kristallstruktur von Cs2 Pr O3, sowie ueber Cs2 Ce O3, Cs2 Tb O3, Rb2 Ce O3 und Rb2 Tb O3	Brunn, H.;  Hoppe, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 433,  p189-p199
1182	C m c 21	Rb2 Tb O3	Na2SiO3	Die Kristallstruktur von Cs2 Pr O3, sowie ueber Cs2 Ce O3, Cs2 Tb O3, Rb2 Ce O3 und Rb2 Tb O3	Brunn, H.;  Hoppe, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 433,  p189-p199
1283	I -4	Rb22 (W32 O107)		The crystal structure of Rb22 W32 O107	Okada, K.;  Marumo, F.;  Iwai, S.I.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p3345-p3349
1314	P 1 21/c 1	Mg (Mo2 O7)		The crystal structure of magnesium dimolybdate	Stadnicka, K.;  Haber, J.;  Kozlowski, R.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p3859-p3862
1322	F -4 3 m	Be4 O (Te O6)		Berylliumtellurat Be4 Te O7	Troemel, M.;  Maetz, J.;  Muellner, M.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p3959-p3961
1365	C 1 2/m 1	Ba2 (Ti6 O13)	Na2Ti6O13	Ueber ein Bariumoxotitanat(III,IV) : Ba2 Ti6 O13	Schmachtel, J.;  Mueller Buschbaum, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 435,  p243-p246
1366	C m c m	Mo O2.69 (O H)0.31	HxMoO3	Mo4 O10 (O H)2 - Eine Verbindung mit nicht ganzzahliger Stoechiometrie: Mo O3-x (O H)x	Schroeder, F.A.;  Weitzel, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 435,  p247-p256
