957	I -4 3 d	Sb4 Au3 Y3	Au3Sb4Y3	Yttrium-gold-antimony	Dwight, A.E.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p1579-p1581
1104	R -3 m H	Mg (Ag0.2 Zn1.8)		Long-period stacking variants and their electron-concentration dependence in the Mg-base Friauf-Laves phases	Komura, Y.;  Kitano, Y.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2496-p2501
1133	P -6 2 m	Mo Ni P	ZrNiAl-Fe2P	Structure cristalline de Ni Mo P	Guerin, R.;  Sergent, M.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2820-p2823
1153	C m c m	Cu Na2 P	AlCe	Darstellung und Kristallstruktur von Na2 Cu P, K2 Ag As, K2 Ag Sb und K2 Ag Bi	Savelsberg, G.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p745-p748
1154	C 2 2 21	K2 Ag As	AgK2As	Darstellung und Kristallstruktur von Na2 Cu P, K2 Ag As, K2 Ag Sb und K2 Ag Bi	Savelsberg, G.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p745-p748
1155	C 2 2 21	Ag K2 Sb	AgK2As	Darstellung und kristallstruktur von Na2 Cu P, K2 Ag As, K2 Ag Sb und K2 Ag Bi	Savelsberg, G.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p745-p748
1156	C 2 2 21	Ag K2 Bi	AgK2As	Darstellung und kristallstruktur von Na2 Cu P, K2 Ag As, K2 Ag Sb und K2 Ag Bi	Savelsberg, G.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p745-p748
1259	P 3	Cu0.917 Li As	LiZnGe	Li1.25 Zn Ge und Li Cu0.93 As - zwei isotype Phasen	Schoenemann, H.;  Schuster, H.U.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 432,  p87-p94
1480	P 4/n m m Z	Sb Mn0.89 Zn0.94	PbClF/Cu2Sb	Ferromagnetic anti-Pb F Cl-type Zn Mn Sb	Johnson, V.;  Jeitschko, W.	Journal of Solid State Chemistry (1977) 22,  p71-p75
1641	P n m a	(Cr0.98 Ni0.02) As	MnP	Structural and magnetic properties of Cr1-t Nit As, Mn1-t Nit As and Fe1-t Nit As	Andreassen Delphin, I.L.;  Selte, K.;  Kjekshus, A.;  Andresen, A.F.	Acta Chemica Scandinavica, Series A: (28,1974-) (1978) 32, (2) p179-p185
1642	P n m a	(Cr0.98 Ni0.02) As	MnP	Structural and magnetic properties of Cr1-t Nit As, Mn1-t Nit As and Fe1-t Nit As	Andreassen Delphin, I.L.;  Selte, K.;  Kjekshus, A.;  Andresen, A.F.	Acta Chemica Scandinavica, Series A: (28,1974-) (1978) 32, (2) p179-p185
