74	P 6/m m m	Fe3 Mn4 Ge6	Fe6Ge6Mg	Structures cristallines de deux nouveaux germaniures ternaires: (Fe, Mn)7 Ge6 et (Co, Mn)7 Ge6	Malaman, B.;  Roques, B.;  Courtois, A.;  Protas, J.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1352-p1355
406	I 4/m m m	Ca Co2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
407	I 4/m m m	Sr Co2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
408	I 4/m m m	Ca Ni2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
409	I 4/m m m	Sr Ni2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
410	I 4/m m m	Sr Cu2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
411	I 4/m m m	Sr Zn2 Ge2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
412	I 4/m m m	Ca Au2 Si2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
413	I 4/m m m	Sr Au2 Si2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
414	I 4/m m m	Sr Ag2 Sn2	ThCr2Si2	Neue Verbindungen A B2 X2 (A= Erdalkalimetall, B= Uebergangselement, X= Element(IV)) im ThCr2Si2-Typ	Doerrscheidt, W.;  Niess, N.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p890-p891
449	P 31 2 1	Ga Ge2 Ni4	Ni4GaGe2	Kristallstruktur von Ni4 Ga Ge2	Bhargava, M.;  Schubert, K.	Journal of the Less-Common Metals (1976) 46,  p139-p149
630	P n m a	Cs3 (Hg Cl4) Cl	Cs3HgCl5	Tricesium tetrachloromercurate(II) chloride	Clegg, W.;  Brown, M.L.;  Wilson, L.J.A.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p2905-p2906
660	P n a 21	K2 (Co Cl4)	K2ZnCl4	Two modifications of cobalt dipotassium tetrachloride	Vermin, W.J.;  Verschoor, G.C.;  Ijdo, D.J.W.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p3325-p3328
661	P 1 21/c 1	K2 (Co Cl4)		Two modifications of cobalt dipotassium tetrachloride	Vermin, W.J.;  Verschoor, G.C.;  Ijdo, D.J.W.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p3325-p3328
801	F -4 3 m	Sn11 Cu39 Ni4		Gamma-brasses with F cells	Booth, M.;  Brandon, J.K.;  Brizard, R.Y.;  Chieh, C.;  Pearson, W.B.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p30-p36
808	P n m a	Cd Rb Br3	NH4CdCl3/Sn2S3	Cadmium rubidium bromide	Natarajan-Iyer, M.;  Faggiani, R.;  Brown, I.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p127-p128
813	P n m a	Na2 (Co Cl4)	Olivine-Mg2SiO4	Chlorides with the chrysoberyl structure: Na2 Co Cl4 and Na2 Zn Cl4	van Loon, C.J.J.;  Visser, D.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p188-p190
814	P n m a	Na2 (Zn Cl4)	Olivine-Mg2SiO4	Chlorides with the chrysoberyl structure: Na2 Co Cl4 and Na2 Zn Cl4	van Loon, C.J.J.;  Visser, D.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p188-p190
843	P 31 2 1	Ag N (C N)2		Crystal structure of silver dicyanamide, Ag N (C N)2	Britton, D.;  Chow, Y.M.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p697-p699
846	C 1 2 1	Mn85.24 Fe4 Si20.07		Crystal structure and superstructure of the k phase, Mn77 Fe4 Si19	Shoemaker, B.;  Shoemaker, D.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p743-p754
998	P 63/m m c	Co3 W10 C3.4	Co3W9+xC4-x	A neutron powder diffraction study of the kappa-phase in the Co-W-C system	Harsta, A.;  Johansson, T.;  Rundqvist, S.;  Thomas, J.O.	Acta Chemica Scandinavica, Series A: (28,1974-) (1977) 31,  p260-p264
1029	P 1 21/m 1	Rb2 (Co I4)	K2ZnBr4	Ueber die Systeme Ai/Coi+2 und die kristallchemischen Beziehungen in der Gruppe der Doppelhalogenide An Cox(n+2) mit x = Cl, Br, I	Seifert, H.J.;  Staeudel, L.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 429,  p105-p117
1258	P 3	Ge Li1.08 Zn0.92	LiZnGe	Li1.25 Zn Ge und Li Cu0.93 As - zwei isotype Phasen	Schoenemann, H.;  Schuster, H.U.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 432,  p87-p94
1260	I m m m	Na2 Au Ge		Die Kristallstrukturen der Phasen Na2 Au Ge und Na Au Sn	Wrobel, G.;  Schuster, H.U.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 432,  p95-p100
1267	P b n m	Cs (Fe Cl4)	Barite-BaSO4	Chlorometallate(III) mit Barytstruktur: Cs Fe Cl4 und Cs Al Cl4	Meyer, G.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 436,  p87-p94
1285	P n 21 a	K2 (Fe F5)		The crystal structure of  K2 Fe F5	Vlasse, M.;  Matejka, G.;  Tressaud, A.;  Wanklyn, B.M.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p3377-p3380
1293	P 63/m m c	Al167.8 Fe44.9 Si23.9		The structure of alpha-(Al Fe Si) by anomalous dispersion methods	Corby, R.N.;  Black, P.J.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p3468-p3475
1343	P 63/m m c	Cd Cs Br3	BaNiO3	About the crystal structure of cesium cadmium tribromide and some observations on crystals of cesium cadmium trichloride	Knakkergaard Moeller, C.	Acta Chemica Scandinavica, Series A: (28,1974-) (1977) 31,  p669-p672
1553	I 41/a m d Z	Hg2.8 (As F6)0.94		A neutron diffraction investigation of the crystal and molecular structure of the anisotropic superconductor Hg3 As F6	Schultz, A.J.;  Williams, J.M.;  Miro, N.D.;  MacDiarmid, A.G.;  Heeger, A.J.	Inorganic Chemistry (1978) 17,  p646-p649
1653	C m c m	K2 (Pt I5)	K2PtI5	Ueber die Iodoplatinate M2 Pt I5 (M= K, Rb, N H4)	Thiele, G.;  Mrozek, C.;  Wittmann, K.;  Wirkner, H.	Naturwissenschaften (1978) 65,  p206-p207
1654	C m c m	Rb2 (Pt I5)	K2PtI5	Ueber die Iodoplatinate M2 Pt I5 (M= K, Rb, N H4)	Thiele, G.;  Mrozek, C.;  Wittmann, K.;  Wirkner, H.	Naturwissenschaften (1978) 65,  p206-p207
1881	P n m a	Mn0.997 Co0.974 Ge	TiNiSi-MgSrSi	A high-temperature X-ray study of the displacive phase transition in  Mn Co Ge	Jeitschko, W.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p1187-p1190
1882	P n m a	Mn0.997 Co0.974 Ge		A high-temperature X-ray study of the displacive phase transition in Mn Co Ge	Jeitschko, W.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p1187-p1190
1969	P n m a	K2 (Ag I3)	Ba2MnS3	Dipotassium silver triiodide	Thackeray, M.M.;  Coetzer, J.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p2339-p2340
1982	P 4/m m m	K2 (Pd Br4)	K2PtCl4	Potassium tetrabromopalladate(II)	Martin, D.S.;  Bonte, J.L.;  Rush, R.M.;  Jacobson, R.A.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p2538-p2539
2289	P 63/m m c	Y2 Fe4 Si9	Fe4Y2Si9	Studies on crystal structure and magnetic susceptibility of the R2 Fe4 Si9 and R Fe S  (R=Y, Cd, Tb, Dy, Ho, Er, Tm, Yb, Lu) compounds	Gladyshevskii, E.I.;  Bodak, O.I.;  Yarovets, V.I.;  Gorelenko, Yu.K.;  Skolozdra, R.V.	Ukrains&#39;kii Fizichnii Zhurnal (Russian Edition) (1978) 23,  p77-p82
2290	P 63/m m c	Yb2 Fe4 Si9	Fe4Y2Si9	Studies on crystal structure and magnetic susceptibility of the R2 Fe4 Si9 and R Fe S (R=Y, Cd, Tb, Dy, Ho, Er, Tm, Yb, Lu) compounds	Gladyshevskii, E.I.;  Bodak, O.I.;  Yarovets, V.I.;  Gorelenko, Yu.K.;  Skolozdra, R.V.	Ukrains&#39;kii Fizichnii Zhurnal (Russian Edition) (1978) 23,  p77-p82
2582	F m -3 m	K2 Pt Cl6	K2PtCl6	Structure refinement of potassium chloroplatinate by powder and single-crystal methods	Williams, R.J.;  Dillin, D.R.;  Milligan, W.O.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p1369-p1372
2583	F m -3 m	K2 Pt Cl6	K2PtCl6	Structure refinement of potassium chloroplatinate by powder and single-crystal methods	Williams, R.J.;  Dillin, D.R.;  Milligan, W.O.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p1369-p1372
2603	P b a 2	K0.6 Fe F3	K1-xFeF3	Structure cristalline du bronze pseudo-quadratique K0.6 Fe F3: Transition pyrochlore-quadratique pour les composes K M M&#39;6	Hardy, A.M.;  Ferey, G.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p1654-p1658
2607	P 1 c 1	K Au Cl4		The crystal structure of anhydrous potassium tetrachloroaurate(III)	Bonamico, M.;  Dessy, G.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p1735-p1736
2722	P 4/m m m	K2 Pt Cl4	K2PtCl4	The crystal structure of K2 Pt Cl4 and K2 Pd Cl4 with estimates of the factors affecting accuracy	Mais, R.H.B.;  Owston, P.G.;  Wood, A.M.	Acta Crystallographica B (24,1968-38,1982) (1972) 28,  p393-p399
2723	P 4/m m m	K2 Pd Cl4	K2PtCl4	The crystal structure of K2 Pt Cl4 and K2 Pd Cl4 with estimates of the factors affecting accuracy	Mais, R.H.B.;  Owston, P.G.;  Wood, A.M.	Acta Crystallographica B (24,1968-38,1982) (1972) 28,  p393-p399
