4039	P 63/m m c	Cs (Cd Cl3)	BaFeO2+x	Electron paramagnetic resonance spectra of vanadium(II) and nickel(II) doped into crystals of cesium cadmium chloride and a redetermination of the structure of cesium cadmium chloride	Chang, J.R.;  McPherson, G.L.;  Atwood, J.L.	Inorganic Chemistry (1975) 14,  p3079-p3085
4055	P 1 21/c 1	Ca (Fe F5)	CaFeF5	Structure cristalline de Ca Fe F5. Classification structurale des phases A(II) B F5	von der Muehll, R.;  Ravez, J.	Revue de Chimie Minerale (1974) 11,  p652-p663
4057	R -3 m H	Pb Pt F6	BaSiF6	Zur Kenntnis neuer Hexafluoroplatinate(IV)	Wilhelm, V.;  Hoppe, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1975) 414,  p130-p136
4063	P n m a	K Fe Cl3	NH4CdCl3/Sn2S3	Neutron diffraction study of the magnetic structure of  K Fe Cl3	Gurewitz, E.;  Makovsky, J.;  Shaked, H.	Physical Review, Serie 3. B - Solid State (1,1970-17,1977) (1974) 9,  p1071-p1076
4064	P n m a	K Fe Br3	NH4CdCl3/Sn2S3	Preparation and crystal structure of K Fe Cl3 and K Fe Br3	Amit, M.;  Horowitz, A.;  Makovsky, J.	Israel Journal of Chemistry (1974) 12,  p827-p830
4065	I 4/m c m	Cs3 Fe Br5	Cs3CoCl5	Preparation and crystal structures of some compounds of the A3 B X5  type (A= Cs, Tl, NH4, B= Mn, Fe, Co, X= Cl, Br)	Amit, M.;  Horowitz, A.;  Ron, E.;  Makovsky, J.	Israel Journal of Chemistry (1973) 11,  p749-p763
4074	C 1 m 1	Cs2 (Hg3 I8)		The structure of the complex anion Hg3 I8(II) in the crystal Cs2 (Hg3 I8)	Fedorov, P.M.;  Pakhomov, V.I.	Koordinatsionnaya Khimiya (= Coordination Chemistry (USSR)) (1975) 1,  p670-p674
4075	F -4 3 m	Ag2 (Hg I4)		Single crystal structure study of alpha-Ag2 Hg I4. Evidence for anharmonic vibration	Kasper, J.S.;  Browall, K.W.	Journal of Solid State Chemistry (1975) 13,  p49-p56
4404	P n m a	Na Co F3	Perovskite-GdFeO3	Distorsioni cristallografiche nelle strutture A B F3. Note II. Struttura cristallina dei fluoruri doppi di sodio-cobalto Na Co F3 e sodio-nichel Na Ni F3	Pompa, F.;  Siciliano, F.	Ricerca Scientifica (1969) 39,  p370-p385
6029	I 41/a m d Z	Hg2.86 As F6		Alchemists&#39; gold, Hg2.86 As F6. An X-ray crystallographic study of a novel disordered mercury compound containing metallically bonded infinite cations	Brown, I.D.;  Cutforth, B.D.;  Davies, C.G.;  Gillespie, R.J.;  Ireland, P.R.;  Verkis, J.E.	Canadian Journal of Chemistry (1974) 52,  p791-p793
6032	P n m a	(Xe2 F11) (Au F6)		Crystal structure of (Xe2 F11) (Au F6) and the Raman spectrum of Xe2 F11+	Leary, K.;  Zalkin, A.;  Bartlett, N.	Inorganic Chemistry (1974) 13,  p775-p779
6043	P 4/n m m Z	Cs (Fe F4)	CsFeF4	Die Kristall- und Magnetische Struktur von Cs Fe F4	Babel, D.;  Wall, F.;  Heger, G.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1974) 29,  p139-p148
6046	F m -3 m	K2 Ni F6	K2PtCl6	The structures of fluorides - IV. A neutron diffraction study of K2 Ni F6	Taylor, J.C.;  Wilson, P.W.	Journal of Inorganic and Nuclear Chemistry (1974) 36,  p1561-p1563
6061	I 4/m m m	Cs2 Au Au Cl6	Cs2Au2Cl6	Redetermination of the crystal structure of Cs2 Au Au Cl6	Tindemans, J.C.M.;  Verschoor, G.C.	Materials Research Bulletin (1974) 9,  p1667-p1670
6062	P n a m	Cs2 (Zn Cl4)	Cs2CuCl4	Crystal structure, crystal forces, and charge distribution in salts of the tetrachlorozincate anion	McGinnety, J.A.	Inorganic Chemistry (1974) 13,  p1057-p1061
6063	P 4/m m m	K2 Pt Br4	K2PtCl4	Polarized crystal absorption spectra and crystal structure for potassium tetrabromoplatinate(II)	Kroening, R.F.;  Rush, R.M.;  Martin, D.S.;  Clardy, J.C.	Inorganic Chemistry (1974) 13,  p1366-p1373
6069	I -4	Ag2 (Hg I4)	Al2CdS4	Single-crystal studies of beta-Ag2 Hg I4	Browall, K.W.;  Kasper, J.S.;  Wiedemeier, H.	Journal of Solid State Chemistry (1974) 10,  p20-p28
8000	I 4/m c m	K Cu F3	KCuF3(tI20)	Electron-density distribution in crystals of K Cu F3 with Jahn-Teller distortion	Tanaka, K.;  Konishi, M.;  Marumo, F.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1303-p1308
8009	P n m a	Tl Cd I3	NH4CdCl3/Sn2S3	The structures of thallium triiodide and dirubidium iron tetraiodide	Zandbergen, H.W.;  Verschoor, G.C.;  Ijdo, D.J.W.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1425-p1427
8035	P n a 21	K2 (Zn Cl4)	K2ZnCl4	The structure of potassium tetrachlorozincate	Mikhail, I.;  Peters, K.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1200-p1201
8055	F m -3 m	K2 (Ru Cl6)	K2PtCl6	Nouvelle determination de la structure cristalline du mue-oxo-bispentachlororuthenate(IV) de potassium, K4 (R U Cl10 O), et affinement de la structure de l&#39;hexachlororuthenate de potassium, K2 (Ru Cl6)	Dloume, J.P.;  Faure, R.;  Thomas-David, G.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p558-p561
8059	P -3 1 m	Au7 P10 I		The crystal structures of Au P3 and Au7 P10 I, polyphosphides with weak Au-Au interactions	Jeitschko, W.;  Moeller, M.H.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p573-p579
8227	P 42/m c m	Nb78 Fe40 Si80		Structure cristalline de Nb78 Fe40 Si80	Steinmetz, J.;  Roques, B.;  Courtois, A.;  Protas, J.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p2509-p2514
9008	P n m a	Na (Ni F3)	Perovskite-GdFeO3	Distorsioni cristallografiche nelle strutture A B F3. Nota II. Strutture cristallina dei fluoruri doppi di sodio-cobalto Na Co F3 e sodio-nichel Na Ni F3	Pompa, F.;  Siciliano, F.	Ricerca Scientifica (1969) 39,  p370-p385
9018	P b m a	Rb (Fe F4)	BaUO4	Die Kristall- und Magnetische Struktur von Cs Fe F4	Babel, D.;  Wall, F.;  Heger, G.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1974) 29,  p139-p148
9114	I 4/m m m	Ir (U C)2	Na2HgO2	The crystal structure of U2 Ir C2	Bowman, A.L.;  Arnold, G.P.;  Krikorian, N.H.	Acta Crystallographica B (24,1968-38,1982) (1971) 27,  p1067-p1068
9302	P c a 21	(Xe F5)2 (Pd F6)		Crystal Structure of (XeF5(2+) (PdF6(2-))	Leary, K.;  Templeton, D.H.;  Zalkin, A.;  Bartlett, N.	Inorganic Chemistry (1973) 12,  p1726-p1730
9303	P 1 21/n 1	(Xe F) (Ru F6)		Crystal Structures of (XeF(+)) (RuF6(-)) and (XeF5(+)) (Ru F6(-))	Bartlett, N.;  Gennis, M.;  Gibler, D.D.;  Morrell, B.K.;  Zalkin, A.	Inorganic Chemistry (1973) 12,  p1717-p1721
9304	P n m a	(Xe F5) (Ru F6)	XeF5RuF6	Crystal structures of (Xe F(+)) (Ru F6(-)) and (Xe F5(+)) (Ru F6(-))	Bartlett, N.;  Gennis, M.;  Gibler, D.D.;  Morrell, B.K.;  Zalkin, A.	Inorganic Chemistry (1973) 12,  p1717-p1721
9323	P 1 21/c 1	Hg3 (As F6)2		Preparation and Raman Spectra of Compounds of the Hg3(2+) Cation. Crystal Structure of Trimercury Bis(hexafluoroarsenate(V)) Hg3 (As F6)2	Vutforth, B.D.;  Davies, C.G.;  Dean, P.A.W.;  Gillespie, R.J.;  Ireland, P.R.;  Ummat, P.K.	Inorganic Chemistry (1973) 12,  p1343-p1347
9325	P 4/m n c	Tl4 (Hg Br6)	Tl4HgBr6	Untersuchungen zur Struktur von Thallium(I)-halogeno-mercuraten(II)	Brodersen, K.;  Thiele, G.;  Goerz, G.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1973) 401,  p217-p226
9361	P 1 1 21	Cs2 (Hg I4)		Crystal structure of Cs2 Hg I4	Pakhomov, V.I.;  Fedorov, P.M.	Kristallografiya (1971) 17,  p942-p946
9431	P c a m	Rb (Fe F4)	BaUO4	Ferroelastic effect in Rb Fe F4 and Cs Fe F4	Abrahams, S.C.;  Bernstein, J.L.	Materials Research Bulletin (1972) 7,  p715-p720
9468	P n a m	Cs2 Cu Cl4	Cs2CuCl4	Cesium Tetrachlorocuprate. Structure, Crystal Forces, and Charge Distribution	McGinnety, J.A.	Journal of the American Chemical Society (1972) 94,  p8406-p8413
9490	P n m a	Rb2 (Co Cl4)	Cs2CuCl4	Crystal structure of (Rb2 Co Cl4) and (Rb3 Mn2 Cl7)	Amit, M.;  Horowitz, A.;  Makovsky, J.	Israel Journal of Chemistry (1972) 10,  p715-p719
9566	I m -3	Li52 Cu57 Si51	Na13(Cd,Tl)27	Ternaere Alkalimetallverbindungen vom Mg32 (Zn, Al)49 Typ mit Elementen der 4. Hauptgruppe	Doering, W.;  Seelentag, W.;  Buchholz, W.;  Schuster, H.U.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) (1979) 34,  p1715-p1718
9567	I m -3	Li52 Ni36 Si72	Na13(Cd,Tl)27	Ternaere Alkalimetallverbindungen vom Mg32 (Zn, Al)49 Typ mit Elementen der 4. Hauptgruppe	Doering, W.;  Seelentag, W.;  Buchholz, W.;  Schuster, H.U.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) (1979) 34,  p1715-p1718
9568	I m -3	Na52 Au81 Si29	Na52Au81Si29	Ternaere Alkalimetallverbindungen vom Mg32(Zn,Al)49 Typ mit Elementen der 4. Hauptgruppe	Doering, W.;  Seelentag, W.;  Buchholz, W.;  Schuster, H.U.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) (1979) 34,  p1715-p1718
9569	I m -3	Na52 Au80 Ge30	Na52Au81Si29	Ternaere Alkalimetallverbindungen vom Mg32 (Zn, Al)49 Typ mit Elementen der 4. Hauptgruppe	Doering, W.;  Seelentag, W.;  Buchholz, W.;  Schuster, H.U.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) (1979) 34,  p1715-p1718
9570	I m -3	Na60 Au78 Sn24	Na52Au81Si29	Ternaere Alkalimetallverbindungen vom Mg32 (Zn, Al)49 Typ mit Elementen der 4. Hauptgruppe	Doering, W.;  Seelentag, W.;  Buchholz, W.;  Schuster, H.U.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (33,1978-41,1986) (1979) 34,  p1715-p1718
9577	I 1 2/m 1	Rb2 (Au Br2) (Au Br4)		Ueber den thermischen Abbau einiger Alkalimetall- und Ammoniumhalogenoaurate(III) und die Kristallstruktur der Zersetzungsprodukte Rb2 Au2 Br6, Rb3 Au3 Cl8 und Au (N H3) Cl3	Straehle, J.;  Gelinek, J.;  Koelmel, M.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1979) 456,  p241-p460
9578	C 1 2/c 1	Rb3 Au3 Cl8	Rb3Au3Cl8	Ueber den thermischen Abbau einiger Alkalimetall- und Ammoniumhalogenoaurate(III) und die Kristallstruktur der Zersetzungsprodukte Rb2 Au2 Br6, Rb3 Au3 Cl8 und Au (N H3) Cl3	Straehle, J.;  Gelinek, J.;  Koelmel, M.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1979) 456,  p241-p460
9600	P 4/m b m	Cs3 Ni F7	K3SiF7	Neue Metallfluoride A3 M F7 mit M = Si, Ti, Mn, Cr, Ni und A = Rb, Cs	Hofmann, B.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1979) 458,  p151-p162
9601	P 4/m b m	Rb3 Ni F7	K3SiF7	Neue Metallfluoride A3 M F7 mit M = Si, Ti, Cr, Mn, Ni und A = Rb, Cs	Hofmann, B.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1979) 458,  p151-p162
9701	F m -3 m	Rb2 Co F6	K2PtCl6	Complex Fluorides of Tetravalent Cobalt	Quail, J.W.;  Rivett, G.A.	Canadian Journal of Chemistry (1972) 50,  p2447-p2450
9702	F m -3 m	Cs2 Co F6	K2PtCl6	Complex Fluorides of Tetravalent Cobalt	Quail, J.W.;  Rivett, G.A.	Canadian Journal of Chemistry (1972) 50,  p2447-p2450
9856	I 4/m c m	K Cu F3		Refinement of the Structure of K Cu F3 with Aspherical Scattering Factors	Tanaka, K.;  Konishi, M.;  Marumo, F.	Research Laboratory on Engineering Materials, Tokyo Institute of Technology: Report (1978) 3,  p19-p26
9903	I 4/m c m	Na Ag F4	KBrF4	Neue Untersuchungen an Fluorkomplexen mit dreiwertigem Silber und Gold	Hoppe, R.;  Homann, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1970) 379,  p193-p198
9904	I 4/m c m	K Ag F4	KBrF4	Neue Untersuchungen an Fluorkomplexen mit dreiwertigem Silber ung Gold	Hoppe, R.;  Homann, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1970) 379,  p193-p198
9905	I 4/m c m	Na Au F4	KBrF4	Neue Untersuchungen an Fluorkomplexen mit dreiwertigem Silber und Gold	Hoppe, R.;  Homann, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1970) 379,  p193-p198
9906	I 4/m c m	K Au F4	KBrF4	Neue Untersuchungen an Fluorkomplexen mit dreiwertigem Silber und Gold	Hoppe, R.;  Homann, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1970) 379,  p193-p198
9907	I 4/m c m	Rb Au F4	KBrF4	Neue Untersuchungen an Fluorkomplexen mit dreiwertigem Silber und Gold	Hoppe, R.;  Homann, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1970) 379,  p193-p198
9908	C 1 2/c 1	Li Au F4	HgMoO4	Neue Untersuchungen an Fluorkomplexen mit dreiwertigem Silber und Gold	Hoppe, R.;  Homann, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1970) 379,  p193-p198
9925	I 4/m m m	K3 Zn2 F7	Sr3Ti2O7	Preparazione e caratteristiche cristallografiche del composto K3 Zn2 F7	Brisi, C.;  Rolando, P.	Ricerca Scientifica (1966) 36,  p48-p50
9926	B b c m	Sr2 Cu F6		Zur Struktur ternaerer Kupfer(II)- und Chrom(II)-Fluoride	von Schnering, H.G.;  Kolloch, B.;  Kolodziejczyk, A.	Angewandte Chemie (German Edition) (1971) 83,  p440-p440
9927	I 4/m c m	Sr Cu F4	KBrF4	Zur Struktur ternaerer Kupfer(II)- und Chrom(II)-Fluoride	von Schnering, H.G.;  Kolloch, B.;  Kolodziejczyk, A.	Angewandte Chemie (German Edition) (1971) 83,  p440-p440
9928	I 4/m c m	Ca Cu F4	KBrF4	Zur Struktur ternaerer Kupfer(II)- und Chrom(II)-Fluoride	von Schnering, H.G.;  Kolloch, B.;  Kolodziejczyk, A.	Angewandte Chemie (German Edition) (1971) 83,  p440-p440
