48	P 63/m m c	Ba Fe O2.73	BaFeO2+x	Powder neutron diffraction study of the structure of and oxygen vacancy distribution in 6h Ba Fe O2.79	Jacobson, A.J.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1087-p1090
62	I 41/a Z	K (Re O4)	Scheelite-CaWO4	Refinements of the crystal structures of K Tc O4, K Re O4 and Os O4. Bond lengths in tetrahedral oxo-anions and oxides of d0 transition metals	Krebs, B.;  Hasse, K.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1334-p1337
64	R -3 R	Ni0.7 Mo3 S4	Mo1+xMo6S8	Etude structurale de combinaisons sulfurees et seleniees du molybdene V. Structures cristallines de phases MX Mo3 S4 (M Ni, Co, Fe)	Guillevic, J.;  Bars, O.;  Grandjean, D.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1338-p1342
69	R -3 R	Co0.75 Mo3 S3.75	Mo1+xMo6S8	Etude structurale de combinaisons sulfurees et seleniees du molybdene.  V. Structures cristallines de phases MX Mo3 S4 (M= Ni, Co, Fe)	Guillevic, J.;  Bars, O.;  Grandjean, D.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1338-p1342
70	R -3 R	Fe0.66 Mo3 S4	Mo1+xMo6S8	Etude structurale de combinaisons sulfurees et seleniees du molybdene.  V. Structures cristallines de phases MX Mo3 S4 (M= Ni, Co, Fe)	Guillevic, J.;  Bars, O.;  Grandjean, D.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1338-p1342
81	I 4/m	La4 (Re2) O10		Crystal structure of La4 (Re2) O10, a fluorite-related structure containing rhenium doublets	Waltersson, K.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1485-p1489
98	C m c m	Fe U S3	ScUS3	Structure cristalline de Fe U S3	Noel, H.;  Padiou, J.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1593-p1595
191	P -3 m 1	Fe0.16 Zr Se1.94	LiTiS2	Structures of a semiconducting and a metallic phase in the Fe Y Zr Se2 system	Gleizes, A.;  Revelli, J.;  Ibers, J.A.	Journal of Solid State Chemistry (1976) 17,  p363-p372
192	P 63 2 2	Fe0.4 Zr Se2	CoNb3S6	Structures of a semiconducting and a metallic phase in the Fe Y Zr Se2 system	Gleizes, A.;  Revelli, J.;  Ibers, J.A.	Journal of Solid State Chemistry (1976) 17,  p363-p372
280	P n m a	Ba3 Fe S5	SrBeEu2O5	Ba15 Fe7 S25 and Ba3 Fe S5. Crystal structures, Moessbauer, magnetic, and electrical behavior	Lemley, J.T.;  Jenks, J.;  Hoggins, J.;  Eliezer, Z.;  Steinfink, H.	Journal of Solid State Chemistry (1976) 16,  p117-p128
282	I -4 m 2	Li Cu O	LiCuO(I4-2m)	Preparation et etude de Li Cu O	Migeon, H.N.;  Zanne, M.;  Gleitzer, C.	Journal of Solid State Chemistry (1976) 16,  p325-p330
283	A 21 a m	(Fe0.1482 Ti0.8882) O2		High-temperature rutile-derived crystallographic shear structures. I. (020)R C S structures	Bursill, L.;  Grey, I.E.;  Lloyd, D.J.	Journal of Solid State Chemistry (1976) 16,  p331-p347
365	P n m a	Cs (Tc O4)	CsIO4	Die Kristallstruktur von Cs Tc O4	Meyer, G.;  Hoppe, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1976) 420,  p40-p50
366	C m c m	K0.51 Mn0.94 O2		Les phases Kx Mn O2, (x&lt; 1)	Delmas, C.;  Fouassier, C.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1976) 420,  p184-p192
495	P n m a	Mn (Se O3)	MgSeO3	Crystal chemistry of M Se O3 and M Te O3 (M= Mg, Mn, Co, Ni, Cu and Zn)	Kohn, K.;  Inoue, K.;  Horie, O.;  Akimoto, S.	Journal of Solid State Chemistry (1976) 18,  p27-p37
496	P n m a	Co (Se O3)	MgSeO3	Crystal chemistry of M Se O3 and M Te O3 (M= Mg, Mn, Co, Ni, Cu and Zn)	Kohn, K.;  Inoue, K.;  Horie, O.;  Akimoto, S.	Journal of Solid State Chemistry (1976) 18,  p27-p37
497	P n m a	Ni (Se O3)	MgSeO3	Crystal chemistry of M Se O3 and M Te O3 (M= Mg, Mn, Co, Ni, Cu and Zn)	Kohn, K.;  Inoue, K.;  Horie, O.;  Akimoto, S.	Journal of Solid State Chemistry (1976) 18,  p27-p37
498	P n m a	Cu (Se O3)	MgSeO3	Crystal chemistry of M Se O3 and M Te O3 (M= Mg, Mn, Co, Ni, Cu and Zn)	Kohn, K.;  Inoue, K.;  Horie, O.;  Akimoto, S.	Journal of Solid State Chemistry (1976) 18,  p27-p37
499	P n m a	Zn (Se O3)	MgSeO3	Crystal chemistry of M Se O3 and M Te O3 (M= Mg, Mn, Co, Ni, Cu and Zn)	Kohn, K.;  Inoue, K.;  Horie, O.;  Akimoto, S.	Journal of Solid State Chemistry (1976) 18,  p27-p37
500	P n m a	Co (Te O3)	MgSeO3	Crystal chemistry of M Se O3 and M Te O3 (M= Mg, Mn, Co, Ni, Cu and Zn)	Kohn, K.;  Inoue, K.;  Horie, O.;  Akimoto, S.	Journal of Solid State Chemistry (1976) 18,  p27-p37
603	C 1 2/c 1	Cu (Se2 O5)	Fe2TiO5(C2/c)	Cristallochimie du selenium(+IV). III. Structure cristalline de Cu Se2 O5	Meunier, G.;  Svensson, C.;  Carpy, A.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p2664-p2667
624	P 43 3 2	Cu1.5 Mn1.5 O4	Spinel-LiFe5O8	Neutron diffraction study of the cation ordering in Cu1.5 Mn1.5 O4 and Cu Mg0.5 Mn1.5 O4	Salmon, R.;  Parent, C.;  le Flem, G.;  Vlasse, M.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p2796-p2798
626	F d -3 m S	Cu1.5 Mn1.5 O4	Spinel-Al2MgO4	Neutron diffraction study of the cation ordering in Cu1.5 Mn1.5 O4 and Cu Mg0.5 Mn1.5 O4	Salmon, R.;  Parent, C.;  le Flem, G.;  Vlasse, M.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p2796-p2798
639	P 1 1 21/a	Sm3 Re O8	Sm3ReO8	Structure cristalline d&#39;oxydes doubles de rhenium. I. Sm3 Re O8	Besse, J.P.;  Bolte, M.;  Baud, G.;  Chevalier, R.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p3045-p3048
863	C 1 2/m 1	K2 (Ag4 S3)	Ag4K2S3	K2 Ag4 S3 und Rb2 Ag4 S3, Synthese und Struktur	Bronger, W.;  Burschka, C.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1976) 425,  p109-p116
922	P 63/m m c	Ba Co O3	BaNiO3	Barium cobalt trioxide	Taguchi, H.;  Takeda, Y.;  Kanamaru, F.;  Shimada, M.;  Koizumi, M.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p1298-p1299
951	P 21 21 21	Ag Er Se2	AgErSe2	Structure cristalline de Er Ag Se2	Julien Pouzol, M.;  Laruelle, P.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p1510-p1512
971	C 1 2/m 1	Cu2 Mn3 O8	Cd2Mn3O8	Structure de Cu2 Mn3 O8	Riou, A.;  Lecerf, A.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p1896-p1900
1025	P 1 21/n 1	Na4 Fe2 O5	Na4Fe2O5	Das erste Oxoferrat(III) mit Blattstruktur: Na4 Fe2 O5	Brachtel, G.;  Hoppe, R.	Naturwissenschaften (1977) 64,  p271-p271
1026	F d d d Z	Na4 Mn2 O5		Die Koordinationszahl 5 bei Mn(III): Na4 Mn2 O5	Brachtel, G.;  Hoppe, R.	Naturwissenschaften (1977) 64,  p272-p272
1049	I m -3 m	Ba (Cu O2)	BaCuO2	Ueber Oxocuprate. XX. Ein Erdalkalioxocuprat(II) mit geschlossenen Baugruppen: Ba Cu O2	Kipka, R.;  Mueller-Buschbaum, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p121-p123
1063	P 21 n b	Ho2 Cu2 O5	Cu2Sc2O5	Ueber Oxocuprate, XXIII. Zur Kenntnis von Ho2 Cu2 O5	Freund, H.R.;  Mueller Buschbaum, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p609-p611
1076	A b m a	La2 (Cu O4)	La2CuO4	Zur Kristallstruktur von Seltenerdmetalloxocupraten: La2 Cu O4, Gd2 Cu O4	Grande, B.;  Mueller Buschbaum, H.;  Schweizer, M.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 428,  p120-p124
1118	P -1	Na14 (Fe6 O16)	Na7Fe3O8	Das erste Oxoferrat(III) mit Ringstruktur, Na14 (Fe6 O16)	Brachtel, G.;  Hoppe, R.	Angewandte Chemie (German Edition) (1977) 89,  p45-p45
1119	P 1 21/c 1	Rb2 (Zn O2)	Cs2ZnO2	Koordinationszahl 3 bei Oxozincaten. Rb8 (O Zn O2 Zn O2 Zn O2 Zn O) und K2 (Zn6 O7)	Wambach, K.R.;  Hoppe, R.	Angewandte Chemie (German Edition) (1977) 89,  p498-p499
1120	P 42 n m	K2 (Zn6 O7)	K2Zn6O7	Koordinationszahl 3 bei Oxozincaten. Rb8 (O Zn O2 Zn O2 Zn O2 Zn O) und K2 (Zn6 O7)	Wambach, K.R.;  Hoppe, R.	Angewandte Chemie (German Edition) (1977) 89,  p498-p499
1146	P b c n	Fe2 (W O6)	Fe2WO6	Magnetic structure of Fe2 W O6, a neutron diffraction study	Pinto, H.;  Melamud, M.;  Shaked, H.	Acta Crystallographica A (24,1968-38,1982) (1977) 33,  p663-p667
1147	P b c n	Fe2 (W O6)	Fe2WO6	Magnetic structure of Fe2 W O6, a neutron diffraction study	Pinto, H.;  Melamud, M.;  Shaked, H.	Acta Crystallographica A (24,1968-38,1982) (1977) 33,  p663-p667
1151	P n m a	Ba2 Mn Te3	Ba2MnS3	Zur Darstellung und Kristallstruktur von Ba2 Mn Te3	Matje, P.;  Mueller, W.;  Schaefer, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p835-p836
1179	I 4/m m m	La2 (Ni O4)	K2MgF4	Zur Kenntnis von Sr2 Cu O2 Br2 mit einem Beitrag ueber La2 Ni O4	Grande, B.;  Mueller Buschbaum, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 433,  p152-p156
1362	P m -3	Cu Ta2 O6		Kristallstruktur von Ca0.5 Cu1.5 Ti2 O6, Cu1.5 Ta Ti O6 und Cu Ta2 O6. Das spektroskopische Verhalten von Cu(2+)-Ionen in kubooktaedrischer Umgebung	Propach, V.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 435,  p161-p171
1369	P -6 2 c	Ba3 Pt2.07 O7.11		A structural model for barium platinum oxide, Ba3 Pt2 O7	Haradem, P.S.;  Chamberland, B.L.;  Katz, L.;  Gleizes, A.	Journal of Solid State Chemistry (1977) 21,  p217-p223
1414	P -4 3 m	Cu3 (V S4)	Cu3VS4	Roentgenographische und IR-spektroskopische Untersuchung der Mischkristallreihen Cu3 V (Sx Se(1-x))4 und Cu3 V (Sex Te(1-x))4 mit Sulvanitstruktur	Riedel, E.;  Paterno, W.;  Erb, W.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 437,  p127-p134
1460	A -1	Ba4 Fe2 S6 (S0.6667 (S2)0.3333)		Crystal structure, Moessbauer, and magnetic behavior of mixed valence compounds in the Ba-Fe-S system: Ba3 (Ba1-x Alx) Fe2 S6 (S1-y (S2)y)	Hoggins, J.T.;  Rendon-Diazmiron, L.E.;  Steinfink, H.	Journal of Solid State Chemistry (1977) 21,  p79-p90
1478	C m c 21	La2 Fe2 S5	Fe2La2S5	Structure de La2 Fe2 S5 et de La2 Fe1.87 S5	Besrest, F.;  Collin, G.	Journal of Solid State Chemistry (1977) 21,  p161-p170
1479	C m c 21	La2 Fe1.87 S5		Structure de La2 Fe2 S5 et de La2 Fe1.87 S5	Besrest, F.;  Collin, G.	Journal of Solid State Chemistry (1977) 21,  p161-p170
1529	I a -3	Cu3 (Te O6)	Bixbyite-Mn2O3	Tricopper(II) tellurate(VI)	Falck, L.;  Lindqvist, O.;  Moret, J.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p896-p897
1544	C m c 21	Fe O (O H)	FeOOH	Hydrogen bonds of gamma - Fe O O H	Christensen, H.;  Christensen, A.N.	Acta Chemica Scandinavica, Series A: (28,1974-) (1978) 32,  p87-p88
1545	C m c 21	Fe O (O H)	FeOOH	Hydrogen bonds of gamma - Fe O O H	Christensen, H.;  Christensen, A.N.	Acta Chemica Scandinavica, Series A: (28,1974-) (1978) 32,  p87-p88
