27	P b a m	Ca5 ((As2) (Ga As2)2)	Ca5Ga2As6	Etude structurale de Ca5 Ga2 As6	Verdier, P.;  l&#39;Haridon, P.;  Maunaye, M.;  Laurent, Y.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p726-p728
188	F d -3 m Z	Ca2 N H	Ca2HN	Etude structurale de Ca2 N H par diffraction des rayons x, diffraction des neutrons et resonance magnetique nucleaire du proton dans le solide	Brice, J.F.;  Motte, J.P.;  Courtois, A.;  Protas, J.;  Aubry, J.	Journal of Solid State Chemistry (1976) 17,  p135-p142
292	F d -3 m Z	Ca2 N H	Ca2HN	Etude structurale de Ca2 N H par diffraction des rayons X, diffraction des neutrons et resonance magnetique nucleaire du proton dans le solide	Brice, J.F.;  Motte, J.P.;  Courtois, A.;  Protas, J.;  Aubry, J.	Journal of Solid State Chemistry (1976) 17,  p135-p142
428	P 4/n m m S	K (N H2)		Die Kristallstruktur einer neuen Modifikation des Kaliumamids, K N H2	Jacobs, H.;  von Osten, E.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p385-p386
456	I 4/m m m	Al4 Mo2 Yb	Al4Mo2Yb	Crystal structure of the ternary RE Mo2 Al4 phases (RE= Gd, Er, Yb)	Fornasini, M.L.;  Palenzona, A.	Journal of the Less-Common Metals (1976) 45,  p137-p141
458	P 6/m m m	Tb2 (Fe0.832 Al0.168)17		Tb2 (Fe0.832 Al0.168)17. A simple crystal structure derived by disordered substitutions in the Th2 Ni17 type	Boller, H.;  Oesterreicher, H.	Journal of the Less-Common Metals (1976) 45,  p103-p109
460	R -3 m H	Al7.48 Fe9.52 Sm2		Structural and low-temperature magnetic studies on compounds Sm2 Fe17 with aluminium substitution for iron	McNeely, D.;  Oesterreicher, H.	Journal of the Less-Common Metals (1976) 44,  p183-p193
892	F m -3 m	Yb2 Ru H6		Preparation, structure, and properties of ytterbium ruthenium hydride	Lindsay, R.;  Moyer, R.O.;  Thompson, J.;  Kuhn, D.	Inorganic Chemistry (1976) 15,  p3050-p3053
1210	P n m m Z	Cr0.9375 V0.0625 N	(Cr,V)N	Etude cristallographique de Cr1-x Vx N a basse temperature	Nasr Eddine, M.;  Bertaut, E.F.;  Roubin, M.;  Paris, J.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p3010-p3013
1211	P n m m Z	Cr0.875 V0.125 N	(Cr,V)N	Etude cristallographique de Cr1-x Vx N a basse temperature	Nasr Eddine, M.;  Bertaut, E.F.;  Roubin, M.;  Paris, J.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p3010-p3013
1243	F -4 3 m	Li2 Zn Sb	CuHg2Ti	Roentgenographische Untersuchungen im System Lithium-Zink-Antimon	Schroeder, G.;  Schuster, H.U.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 431,  p217-p220
1517	P 63/m	Zr Ir3 B3.76	HfIr3B4	The crystal structure of Zr Ir3 B4	Rogl, P.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p721-p724
1518	P 63/m	Hf Ir3 B4	HfIr3B4	The crystal structure of  Zr Ir3 B4	Rogl, P.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p721-p724
1566	I 41/a m d Z	Eu (N H2)2	Sr(NH2)2	Untersuchung des Systems Kalium/Europium/Ammoniak	Jacobs, H.;  Fink, U.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1978) 438,  p151-p159
1688	P 1 21/n 1	(B5 H10 Be) B H4		Low-temperature crystal and molecular structures of 2-tetrahydroborato-2-berylla-nido-hexaborane(11) and 2,2&#39;-commo-Bis(2-berylla-nido-hexaborane(11))	Gaines, D.F.;  Walsh, J.L.;  Calabrese, J.C.	Inorganic Chemistry (1978) 17,  p1242-p1247
2027	P 4/n m m S	Ca Ga N	CaGaN	Etude structurale de Ca Ga N	Verdier, P.;  l&#39;Haridon, P.;  Maunaye, M.;  Marchand, R.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p226-p228
2306	P 63/m m c	Nb (Al0.77 Ir0.23)2	Laves(2H)-MgZn2	The crystal structure of the A (Nb Al Ir) phase	Horyn, R.	Journal of the Less-Common Metals (1976) 50,  p7-p14
2421	P n m a	Co Mo P	TiNiSi-MgSrSi	Structure cristalline du phosphure de cobalt-molybdene: Co Mo P	Guerin, R.;  Sergent, M.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p3312-p3314
2469	P 63/m m c	V0.4 Os0.6 B2	ReB2	New complex borides with Re B2- and Mo2 Ir B2-type structure	Rogl, P.;  Rudy, E.	Journal of Solid State Chemistry (1978) 24,  p175-p181
4021	P -1	(Co (N H3)4 (N3)2) (Co (N H3)2 (N3)4)		Triammines of Cobalt(III). IV. Preparation, Properties, and Structure of the Polymerization Isomer trans-Diazidotetraaminecobalt(III) trans-Tetraazidodiamminecobaltate(III), (Co (N H3)4 (N3)2 ) (Co (N H3)2 (N3)4).	Druding, L.F.;  Sancilio, F.D.;  Lukaszweski, D.M.	Inorganic Chemistry (1975) 14,  p1365-p1369
4022	P b c a	K2 Zn (N3)4		Die Kristallstruktur von Kaliumzinkazid K2 Zn (N3)4	Brunner, A.C.;  Krischner, H.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1975) 142,  p24-p34
4023	P c a 21	Cs2 (Zn (N3)4)	Cs2Zn(N3)4	Die Kristallstruktur von Caesiumzinkazid Cs2 Zn (N3)4	Platzer, G.F.;  Krischner, H.	Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) (1975) 141,  p363-p374
4040	I m -3 m	Ca (N D3)6		A Neutron Diffraction Study of Hexaammine-d3-calcium(0) at 75K	von Dreele, R.B.;  Glaunsinger, W.S.	Journal of Physical Chemistry (1975) 79,  p2992-p2995
6012	P m m n S	Zr N (N H2)		Ueber ein Nitridamid des Zirkoniums	Blunck, H.;  Juza, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1974) 406,  p145-p152
6013	P 1 21/c 1	La (N H2)3		Die Kristallstruktur von Lanthanamid, La (N H2)3	Hadenfeldt, C.;  Gieger, B.;  Jacobs, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1974) 410,  p104-p112
6016	R -3 m H	Th (N H)2		Ueber Verbindungen des Thoriums mit Stickstoff und Wasserstoff	Blunck, H.;  Juza, R.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1974) 410,  p9-p20
8020	P 42/n Z	(Nb1.126 Ta1.376) As0.897		Structures of Ta3 As and (Nb,Ta)3 As	Wang, Y.;  Calvert, L.D.;  Gabe, E.J.;  Taylor, J.B.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1447-p1450
8022	I 41/a S	Na (Al H4)	Scheelite-CaWO4	Sodium tetrahydridoaluminate	Dougherty, D.;  Herley, P.J.;  Lauher, J.W.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p1454-p1456
8078	P 42/n Z	La Ru4 B4	Co4NdB4	Lanthanum ruthenium boride, La Ru4 B4	Gruettner, A.;  Yvon, K.	Acta Crystallographica B (24,1968-38,1982) (1979) 35,  p451-p453
