25	F -4 3 m	Ag8 Ge Te6	Ag8SiTe6	Structure cristalline de Ag8 Ge Te6 (gamma)	Rysanek, N.;  Laruelle, P.;  Katty, A.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p692-p696
33	P 1 21/n 1	Pb (W O4)	PbWO4(mP48)	Pb W O4-III (a high-pressure form)	Richter, P.W.;  Kruger, G.J.;  Pistorius, C.W.F.T.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p928-p929
68	R -3 R	Pb0.5 Mo3 Se4	Mo6PbS8	Etude structurale de combinaisons sulfurees et seleniees du molybdene. VI.Structures cristallines de Pbx Mo3 S4 et de Pbx Mo3 Se4	Guillevic, J.;  Lestrat, H.;  Grandjean, D.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1342-p1345
208	I 41/a m d Z	Cu Br Te		Crystal structure of copper bromide telluride	Carkner, P.M.;  Haendler, H.M.	Journal of Solid State Chemistry (1976) 18,  p183-p189
286	P 63	Fe (I O3)3	Fe(IO3)3	Zur Kristallstruktur von Fe I3 O9	Jansen, M.	Journal of Solid State Chemistry (1976) 17,  p1-p6
297	P c a 21	Cd (N O3)2		Structure cristalline et polymorphisme du nitrate de cadmium anhydre	Louer, M.;  Louer, D.;  Grandjean, D.	Journal of Solid State Chemistry (1976) 17,  p231-p237
332	P n m a	Fe2 (Si S4)	Olivine-Mg2SiO4	Polyhedral deformations in olivine-type compounds and the crystal structure of Fe2 Si S4 and Fe2 Ge S4	Vincent, H.;  Bertaut, E.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1749-p1755
333	P n m a	Fe2 (Ge S4)	Olivine-Mg2SiO4	Polyhedral deformations in olivine-type compounds and the crystal structure of Fe2 Si S4 and Fe2 Ge S4	Vincent, H.;  Bertaut, E.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1749-p1755
334	C 1 2/m 1	Ga3.46 Ti21.54 O48		The structure of Ga4 Ti21 O48	Lloyd, D.J.;  Grey, I.E.;  Bursill, L.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1756-p1761
374	R 3 c H	Ag (N O3)	AgNO3(R3c)	Structure d une phase du nitrate d argent instable a temperature et pression ordinaires	Meyer, P.;  Rimsky, A.;  Chevalier, R.	Acta Crystallographica B (24,1968-38,1982) (1976) 32,  p1143-p1146
415	I -4	Mn Ga2 Se4	Al2CdS4	Mn Ga2 Se4 und Mn Ga2 Te4	Range, K.J.;  Huebner, H.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1976) 31,  p886-p887
821	B 1 1 2/m	Cr (P S4)	CrPS4	L&#39;orthothiophosphate de chrome	Toffoli, P.;  Khodadad, P.;  Rodier, N.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p285-p287
822	P c a 21	Pt Ge Se	PtGeSe	Note on the crystal structure of ferroelastic Pt Ge Se	Abrahams, S.;  Bernstein, J.L.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p301-p302
833	P n m a	Cu4 (Sn S4)	Cu4SnS4	Cuivre-etain-soufre Cu4 Sn S4	Jaulmes, S.;  Rivet, J.;  Laruelle, P.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p540-p542
845	F d -3 m S	Co2 (Si O4)	Spinel-Al2MgO4	Electron-density distributions in crystals of gamma-Fe2 Si O4 and gamma-Co2 Si O4	Marumo, F.;  Isobe, M.;  Akimoto, S.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p713-p716
859	F d -3 m S	Co2 (Si O4)	Spinel-Al2MgO4	Electron-density distributions in crystals of gamma-Fe2 Si O4 and gamma-Co2 Si O4	Marumo, F.;  Isobe, M.;  Akimoto, S.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p713-p716
903	I 4/m m m	Mn8 O10 Cl3		Structure cristalline d&#39;un oxychlorure de manganese, Mn8 O10 Cl3	Buisson, G.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p1031-p1034
937	C 1 2 1	Cr (P S4)	CrPS4	The crystal structure of chromium thiophosphate, Cr P S4	Diehl, R.;  Carpentier, C.D.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p1399-p1404
949	B 1 1 2/b	Ag4 (P2 S7)		Structure cristalline du pyrothiophosphate d&#39;argent, Ag4 P2 S7	Toffoli, P.;  Khodadad, P.;  Rodier, N.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p1492-p1494
1012	P 1 21/n 1	Os3 (C O)12	Os3(CO)12	Structural studies on polynuclear osmium carbonyl hydrides. 1. Crystal structures of the isomorphous species H2 Os3 (C O)11 and Os3 (C O)12. Direct information on the rule of an equitorial mue2-bridging hydride ligand in perturb...	Churchill, M.R.;  de Boer, B.G.	Inorganic Chemistry (1977) 16,  p878-p884
1031	P 1 21/c 1	Nb N O	Baddeleyite-ZrO2(mP12)	Darstellung der Oxidnitride V O N, Nb O N und Ta O N. Die Kristallstruktur von Nb O N und Ta O N	Weishaupt, M.;  Straehle, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 429,  p261-p269
1032	P 1 21/c 1	Ta N O	Baddeleyite-ZrO2(mP12)	Darstellung der Oxidnitride V O N, Nb O N und Ta O N. Die Kristallstruktur von Nb O N und Ta O N	Weishaupt, M.;  Straehle, J.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1977) 429,  p261-p269
1054	P n a 21	Ag8 (Si S4) S2	Ag8SiS6	Zur Kenntnis des Argyrodit-Strukturtyps: die Kristallstruktur von Ag8 Si S6	Krebs, B.;  Mandt, J.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1977) 32,  p373-p379
1083	B b 21 m	Pb (Nb2 O6)		Structure cristalline de la phase ferroelectrique du niobate de plomb Pb Nb2 O6 . Deplacements des atomes metalliques et interpretation de la surstructure	Labbe, P.;  Frey, M.;  Raveau, B.;  Monier, J.C.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2201-p2212
1087	C 2 2 21	Nb3.09 Tl O8.22		Un niobate de thallium de type &#39;bronze hexagonal&#39; excedentaire en cations	Gasperin, M.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2306-p2308
1092	P 4/m n c	I0.33 (Nb Se4)	INb4(Se2)6	Preparation et structure cristalline de I0.33 Nb Se4 (I4 Nb12 Se48)	Meerschaut, A.;  Palvadeau, P.;  Rouxel, J.	Journal of Solid State Chemistry (1977) 20,  p21-p27
1105	P 1 21/a 1	Cr2 (P6 O18)		Structure cristalline de l&#39;hexametaphosphate de chrome. Cr2 P6 O18	Bagieu Beucher, M.;  Guitel, J.C.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2529-p2533
1143	P -1	Cu3 (P O4)2	Cu3(PO4)2(P1-)	Copper(II) phosphate	Shoemaker, G.L.;  Anderson, J.B.;  Kostiner, E.	Acta Crystallographica B (24,1968-38,1982) (1977) 33,  p2969-p2972
1195	R 3 R	Co Ge1.5 S1.5	Co2Ge3S3	Preparation and characterization of the skutterudite-related phases Co Ge1.5 S1.5 and Co Ge1.5 Se1.5	Korenstein, R.;  Soled, S.;  Wold, A.;  Collin, G.	Inorganic Chemistry (1977) 16,  p2344-p2345
1196	R 3 R	Co Ge1.5 Se1.5	Co2Ge3S3	Preparation and characterization of the skutterudite-related phases Co Ge1.5 S1.5 and Co Ge1.5 Se1.5	Korenstein, R.;  Soled, S.;  Wold, A.;  Collin, G.	Inorganic Chemistry (1977) 16,  p2344-p2345
1273	P 1 21/n 1	Ru3 (C O)12	Os3(CO)12	An accurate redetermination of the structure of triruthenium dodecacarbonyl, Ru3 (C O)12	Churchill, M.R.;  Hollander, F.J.;  Hutchinson, J.L.	Inorganic Chemistry (1977) 16,  p2655-p2659
